,belonging,Lng,Lat,Cid,followers,totalPrice,price,square,livingRoom,drawingRoom,kitchen,bathRoom,buildingType,constructionTime,renovationCondition,buildingStructure,ladderRatio,elevator,fiveYearsProperty,subway,district,communityAverage,year,month,day,floor_num,relativeHeight,buildingType_towel,buildingType_bungalow,buildingType_comb,buildingType_plate,house_cnt,mall_cnt
belonging,1.0,-0.225562274153665,-0.24468167708326977,-0.06791114770414601,0.06058045137689164,0.3711277589104978,0.42014365426470457,-0.3062977042395485,-0.33276981660022736,-0.32327894417801856,0.024789040576593698,-0.24617213376449026,-0.3791127604507068,-0.3283995280775746,0.051077297093822915,0.1352900092771557,-0.339054488019105,0.15702969629976088,0.3114146905724761,0.3749454286987154,-0.332299538657031,0.4018550491017654,-0.16538453103898368,0.1613407719509394,0.17973794244943023,0.24196143111365834,-0.09253837971791276,0.36526656024818555,0.037018979455084276,0.10876487146010941,-0.35260676530809426,0.03921937464734734,-0.023547737706587107
Lng,-0.225562274153665,1.0,0.03416886577716788,-0.04175444362487878,-0.15376614252981322,-0.0729224741259006,-0.10222742793041074,0.11637909057037571,0.08485916775411485,0.2569279679095603,0.29429867639705914,0.2001371830560857,-0.046880508632965806,0.018658489961372808,-0.2060946445259383,0.0334719010789512,0.033253653997959993,0.06972968791671984,0.10604664657485978,-0.03853616224020514,0.1850739376605726,-0.028200954487204555,-0.3786377579908808,-0.09801020271623324,0.06966882770719214,-0.05070889927855444,0.2006427225702181,-0.0027223013152360555,0.014138631961162872,0.2017464520376618,-0.11869684383545155,0.12314956928299209,0.06134286416991568
Lat,-0.24468167708326977,0.03416886577716788,1.0,-0.17157995738937157,0.06441757740604032,-0.07897821401388566,-0.1209495853624188,0.08920623119536238,0.1383545908809243,0.12365205663520192,-0.006027691001577274,0.16290324429674558,0.24107837570357987,0.007353138979377082,0.009448944983656437,-0.29835031153612857,0.08294288079381015,-0.14984040516004407,0.02562971501953282,-0.24313307956926253,0.3344153066173795,-0.11290082466596604,0.13341551785719977,0.10242947449462787,-0.2011702235553738,-0.31716406877810777,0.024321056255545374,-0.21692357531707365,-0.01503165365980827,-0.13015624025610442,0.24848352253123276,0.022144383199251754,-0.10041982612946615
Cid,-0.06791114770414601,-0.04175444362487878,-0.17157995738937157,1.0,-0.013087353441125823,-0.020716894605835767,-0.040759062771361106,0.02775225331271585,0.17691723482026236,0.04998885129215413,0.022485881869394264,0.04097177780833649,0.09631519092523586,0.15218531583995057,-0.059632039357310394,0.11021430193249583,0.13416853157361125,0.12300271979541277,-0.20364341321731966,0.09384046980563741,-0.06866977657204061,-0.06584478412265986,0.16332636497067593,0.024829427604219523,0.0458783177635888,0.2550515382384809,-0.04250550573815082,-0.07957383765473486,-0.01291304740844017,-0.07957715503861627,0.11030203550014206,-0.04671182781900556,-0.051565436741813075
followers,0.06058045137689164,-0.15376614252981322,0.06441757740604032,-0.013087353441125823,1.0,-0.08795879370324423,0.06872267178343058,-0.17927360123796962,-0.28215477450734694,-0.10427395567646074,0.06274271297314936,-0.0813353055978071,0.258950222128501,0.018277157306372513,0.533680059181449,-0.09711433162529697,-0.054529429830590066,-0.1747069247550978,-0.30394398141209494,-0.1712040753647808,-0.287037151353913,-0.046843752119083204,0.582188765485446,0.01157471974481775,0.41825321496881335,-0.18777936100993312,0.3967711671399148,-0.21877297144217106,-0.022074964942706013,-0.19559120463435198,0.2891692519529495,-0.15199885744595315,-0.1150787561138127
totalPrice,0.3711277589104978,-0.0729224741259006,-0.07897821401388566,-0.020716894605835767,-0.08795879370324423,1.0,0.8142856951990483,0.03881525407736173,0.005020578321391017,-0.043951350203457716,0.09389815742493021,0.08442648547282573,-0.3159359890721491,-0.22673884628916663,0.050771710752324464,0.19992299458594262,-0.21337191114566897,0.23808544366190645,0.19753547746347758,0.48842791664235347,-0.04632165819367859,0.7849231994287048,-0.14954723742864703,0.0671620948728863,0.2251478624056809,0.20285486811405012,-0.13740109570459308,0.2804745598502921,0.18265545106436742,0.17657727612648916,-0.32893092394140816,-0.008765366628994999,0.02547830897940112
price,0.42014365426470457,-0.10222742793041074,-0.1209495853624188,-0.040759062771361106,0.06872267178343058,0.8142856951990483,1.0,-0.502230026515712,-0.33866952764247094,-0.46245790172909224,0.11129238152805078,-0.37920574949184216,-0.27927701147533646,-0.5991384968840519,0.017221718446696503,-0.07770169572078392,-0.450411428806743,-0.006763047745686139,0.3587964861591326,0.6011524925930435,-0.11656214735712474,0.9750162314897364,-0.19231155133099198,0.14538489345428726,0.285006921641392,0.032724854916706736,-0.012812245536668805,0.24212113747278247,0.31572473271813645,0.17047163675029045,-0.29734517795312493,-0.04620203949278047,0.008759884012590171
square,-0.3062977042395485,0.11637909057037571,0.08920623119536238,0.02775225331271585,-0.17927360123796962,0.03881525407736173,-0.502230026515712,1.0,0.701573017318175,0.8190440109041116,-0.07554758985313552,0.8738297163165827,0.09869887506271563,0.6901692432509353,0.051009214422592035,0.3578558356997672,0.4776855652865042,0.2760679126377375,-0.40520151809322524,-0.37164745164980373,0.15294268265218075,-0.49576177884508255,0.11913475155906758,-0.18409700527769962,-0.13241135217344718,0.12197464296312505,-0.0731676781106505,-0.07829332444752535,-0.17490577986330919,-0.08542963914073531,0.11546915519916068,0.03069475126903592,-0.01285365959611226
livingRoom,-0.33276981660022736,0.08485916775411485,0.1383545908809243,0.17691723482026236,-0.28215477450734694,0.005020578321391017,-0.33866952764247094,0.701573017318175,1.0,0.6624144696940674,-0.04683954061053698,0.6383866794420238,0.35822651283267654,0.3508104511205973,-0.23610580804622375,0.09546963383085975,0.46551761582583623,0.003076413716689868,-0.3120113898632935,-0.31701257597777666,0.22482770453522993,-0.33617828529183685,0.08933271846613756,-0.0874419519827209,-0.21402154766936257,-0.13732932320614352,-0.06474226773099567,-0.31351344007201787,-0.02015623742050952,-0.2283023110436777,0.38312618133265763,-0.1037863345575982,-0.13700431975454466
drawingRoom,-0.32327894417801856,0.2569279679095603,0.12365205663520192,0.04998885129215413,-0.10427395567646074,-0.043951350203457716,-0.46245790172909224,0.8190440109041116,0.6624144696940674,1.0,0.028456906054184772,0.8101849150859346,0.22365117535840534,0.592208534877467,-0.04660675912278281,0.24772778855587146,0.5056468162347553,0.21833903898231533,-0.3555961278790316,-0.36817231129496797,0.1824268320678626,-0.4315159300662765,0.00547438592185122,-0.12351306541423228,-0.13809526695902857,0.0209761020060084,0.016691550585514584,-0.22768238418606976,-0.14607892872183756,-0.009200291673092057,0.18679363281760666,0.0285534071136942,-0.053445920716107626
kitchen,0.024789040576593698,0.29429867639705914,-0.006027691001577274,0.022485881869394264,0.06274271297314936,0.09389815742493021,0.11129238152805078,-0.07554758985313552,-0.04683954061053698,0.028456906054184772,1.0,-0.02355256624963817,-0.1768834446981656,-0.1166503838931656,-0.3274650987531882,0.05294266953675728,-0.09280525742283033,0.11707640323099214,0.2307092855606154,0.1275085210736941,-0.14447555926499667,0.1321150471325265,0.03284375084968479,0.005304983004899948,0.008228757581954366,0.02072788174669763,0.02025591645361345,0.15866978753154917,-0.03863365308582069,0.10017659892284932,-0.18390799020223247,0.08532467824422087,0.047953243022241465
bathRoom,-0.24617213376449026,0.2001371830560857,0.16290324429674558,0.04097177780833649,-0.0813353055978071,0.08442648547282573,-0.37920574949184216,0.8738297163165827,0.6383866794420238,0.8101849150859346,-0.02355256624963817,1.0,0.060189135761242005,0.5881923484471413,0.0529122786492106,0.367503067428843,0.2953522810318634,0.3002150021594713,-0.41479144539728297,-0.26618989487709094,0.1392453865439472,-0.37164733015955675,0.08567616683654128,-0.09620004728110633,-0.09813209429068356,0.1018807915279255,2.20528933709124e-05,-0.04709265459367294,-0.15490418634328246,-0.05200564696253074,0.07064510032767238,-0.020906781184185142,-0.05916383959130814
buildingType,-0.3791127604507068,-0.046880508632965806,0.24107837570357987,0.09631519092523586,0.258950222128501,-0.3159359890721491,-0.27927701147533646,0.09869887506271563,0.35822651283267654,0.22365117535840534,-0.1768834446981656,0.060189135761242005,1.0,0.21558993794630585,0.07249937891700976,-0.3710044041842921,0.5031595565749949,-0.5143613777525344,-0.35754215246675547,-0.45909102104559246,0.12326604382915837,-0.3245523923315142,0.3818410465144638,0.043313634501647,-0.014651165971495113,-0.6400144915639727,0.16859190055628842,-0.9696237243672806,0.09086002365516598,-0.2730719664853043,0.9235385443976265,-0.25217822115482036,-0.14564073450778642
constructionTime,-0.3283995280775746,0.018658489961372808,0.007353138979377082,0.15218531583995057,0.018277157306372513,-0.22673884628916663,-0.5991384968840519,0.6901692432509353,0.3508104511205973,0.592208534877467,-0.1166503838931656,0.5881923484471413,0.21558993794630585,1.0,0.2205572284519771,0.5676022472900372,0.4561806430964765,0.36215791457396584,-0.7234724324422648,-0.48714582183282573,0.04360962376906452,-0.6304647836947138,0.39826368572031146,-0.19384159384656097,-0.01376436074874412,0.2487040769201049,-0.047525276864387886,-0.2205772153965685,-0.23177459674617154,0.0004984270690580059,0.17682844235251827,-0.032672656320198355,0.019184785508738554
renovationCondition,0.051077297093822915,-0.2060946445259383,0.009448944983656437,-0.059632039357310394,0.533680059181449,0.050771710752324464,0.017221718446696503,0.051009214422592035,-0.23610580804622375,-0.04660675912278281,-0.3274650987531882,0.0529122786492106,0.07249937891700976,0.2205572284519771,1.0,0.1656330870537897,-0.09398684228031212,0.06847537513476999,-0.30830103934580566,-0.15320168986826296,-0.1559722311098005,-0.09492437015568121,0.42769209873040065,-0.09757629124292236,0.49410405347593117,0.09948685361367571,0.24944641109935373,-0.0593492408818358,-0.11450904734735838,-0.056274008480495505,0.0821592993645709,-0.06162757340271599,-0.003305852891914116
buildingStructure,0.1352900092771557,0.0334719010789512,-0.29835031153612857,0.11021430193249583,-0.09711433162529697,0.19992299458594262,-0.07770169572078392,0.3578558356997672,0.09546963383085975,0.24772778855587146,0.05294266953675728,0.367503067428843,-0.3710044041842921,0.5676022472900372,0.1656330870537897,1.0,-0.035090220891890754,0.7679674543284641,-0.41828591360100675,0.07755734079967475,-0.16174700469648418,-0.11700438320307505,0.1800120683573576,-0.181253014276669,0.05074349665387096,0.6388431144299506,-0.10417962493431254,0.3324057591594399,-0.14816792721323838,0.21538693133948017,-0.38746935660457665,-0.008172986956579122,0.09270280474982907
ladderRatio,-0.339054488019105,0.033253653997959993,0.08294288079381015,0.13416853157361125,-0.054529429830590066,-0.21337191114566897,-0.450411428806743,0.4776855652865042,0.46551761582583623,0.5056468162347553,-0.09280525742283033,0.2953522810318634,0.5031595565749949,0.4561806430964765,-0.09398684228031212,-0.035090220891890754,1.0,-0.09604198690711173,-0.2921180886263909,-0.37210015274381575,0.06302974161314731,-0.4448644706255557,0.17692043474900443,-0.09708696928208811,-0.22675491755489952,-0.07882286571943847,-0.05244437794231122,-0.48543422114952717,-0.07039455826728787,-0.14061022239885257,0.46660612382341066,-0.022540969102689726,-0.003547816287662247
elevator,0.15702969629976088,0.06972968791671984,-0.14984040516004407,0.12300271979541277,-0.1747069247550978,0.23808544366190645,-0.006763047745686139,0.2760679126377375,0.003076413716689868,0.21833903898231533,0.11707640323099214,0.3002150021594713,-0.5143613777525344,0.36215791457396584,0.06847537513476999,0.7679674543284641,-0.09604198690711173,1.0,-0.19177224796968217,0.15744508119635733,-0.012709255865618246,0.017750517747883113,-0.08944030174321874,0.004584893538690488,-0.06909373369439167,0.7228825037422891,-0.16526369740663713,0.4719739297230436,-0.1545714049215289,0.25193686637643464,-0.5188665815111797,0.12860321334649197,0.12291594910789518
fiveYearsProperty,0.3114146905724761,0.10604664657485978,0.02562971501953282,-0.20364341321731966,-0.30394398141209494,0.19753547746347758,0.3587964861591326,-0.40520151809322524,-0.3120113898632935,-0.3555961278790316,0.2307092855606154,-0.41479144539728297,-0.35754215246675547,-0.7234724324422648,-0.30830103934580566,-0.41828591360100675,-0.2921180886263909,-0.19177224796968217,1.0,0.47872967743641764,-0.08244823984718253,0.44002033638229016,-0.5578112011467125,0.1326899897839602,-0.21905294735201664,-0.12489156955076669,-0.1406998325396742,0.31577329773939333,0.10122533525029587,0.21211408399021092,-0.3765629999802536,0.2271263552454859,0.10474432976137088
subway,0.3749454286987154,-0.03853616224020514,-0.24313307956926253,0.09384046980563741,-0.1712040753647808,0.48842791664235347,0.6011524925930435,-0.37164745164980373,-0.31701257597777666,-0.36817231129496797,0.1275085210736941,-0.26618989487709094,-0.45909102104559246,-0.48714582183282573,-0.15320168986826296,0.07755734079967475,-0.37210015274381575,0.15744508119635733,0.47872967743641764,1.0,-0.2904752510754362,0.6089132565759152,-0.286872786778719,0.25586896953744026,-0.0718874749949996,0.2923063081547964,-0.19847277423170023,0.39687491197083874,0.1802818286861642,0.30342537996062313,-0.49617199269872864,0.1378041782916831,0.16076858887462694
district,-0.332299538657031,0.1850739376605726,0.3344153066173795,-0.06866977657204061,-0.287037151353913,-0.04632165819367859,-0.11656214735712474,0.15294268265218075,0.22482770453522993,0.1824268320678626,-0.14447555926499667,0.1392453865439472,0.12326604382915837,0.04360962376906452,-0.1559722311098005,-0.16174700469648418,0.06302974161314731,-0.012709255865618246,-0.08244823984718253,-0.2904752510754362,1.0,-0.0742444280541496,-0.19036213966769394,-0.09162287760795702,-0.07873329251458351,-0.09201662252117836,0.09670544213057247,-0.09855267430890567,-0.11794457375232698,-0.10920407140390005,0.14465787690017937,0.009472096469273647,-0.07532354783520316
communityAverage,0.4018550491017654,-0.028200954487204555,-0.11290082466596604,-0.06584478412265986,-0.046843752119083204,0.7849231994287048,0.9750162314897364,-0.49576177884508255,-0.33617828529183685,-0.4315159300662765,0.1321150471325265,-0.37164733015955675,-0.3245523923315142,-0.6304647836947138,-0.09492437015568121,-0.11700438320307505,-0.4448644706255557,0.017750517747883113,0.44002033638229016,0.6089132565759152,-0.0742444280541496,1.0,-0.3604075674758212,0.16153287807806693,0.20500564091892118,0.017857462551331936,-0.06457518610246181,0.2720695189518356,0.31979417101721597,0.2373923370599624,-0.36094633561445727,-0.0034259008473871942,0.01676467340662161
year,-0.16538453103898368,-0.3786377579908808,0.13341551785719977,0.16332636497067593,0.582188765485446,-0.14954723742864703,-0.19231155133099198,0.11913475155906758,0.08933271846613756,0.00547438592185122,0.03284375084968479,0.08567616683654128,0.3818410465144638,0.39826368572031146,0.42769209873040065,0.1800120683573576,0.17692043474900443,-0.08944030174321874,-0.5578112011467125,-0.286872786778719,-0.19036213966769394,-0.3604075674758212,1.0,-0.034618130739472626,0.09504259876441808,-0.052610561558946715,0.09991141384696982,-0.31303081742250677,-0.04289444213651535,-0.32555910863232573,0.4412616668950726,-0.2803511082621997,-0.10857335874713048
month,0.1613407719509394,-0.09801020271623324,0.10242947449462787,0.024829427604219523,0.01157471974481775,0.0671620948728863,0.14538489345428726,-0.18409700527769962,-0.0874419519827209,-0.12351306541423228,0.005304983004899948,-0.09620004728110633,0.043313634501647,-0.19384159384656097,-0.09757629124292236,-0.181253014276669,-0.09708696928208811,0.004584893538690488,0.1326899897839602,0.25586896953744026,-0.09162287760795702,0.16153287807806693,-0.034618130739472626,1.0,-0.17688727454138642,0.010003307425884053,-0.4777485388145874,-0.046926806884705095,-0.02959503392595578,0.00945822155691448,0.03170331045026954,0.059339400974855,-0.01178642217202329
day,0.17973794244943023,0.06966882770719214,-0.2011702235553738,0.0458783177635888,0.41825321496881335,0.2251478624056809,0.285006921641392,-0.13241135217344718,-0.21402154766936257,-0.13809526695902857,0.008228757581954366,-0.09813209429068356,-0.014651165971495113,-0.01376436074874412,0.49410405347593117,0.05074349665387096,-0.22675491755489952,-0.06909373369439167,-0.21905294735201664,-0.0718874749949996,-0.07873329251458351,0.20500564091892118,0.09504259876441808,-0.17688727454138642,1.0,0.10214638847536035,0.3671403156522176,0.010761253968632093,0.08671900870648863,0.012719558083185981,-0.017490160783538166,-0.009233620354437236,-0.0056402165892134775
floor_num,0.24196143111365834,-0.05070889927855444,-0.31716406877810777,0.2550515382384809,-0.18777936100993312,0.20285486811405012,0.032724854916706736,0.12197464296312505,-0.13732932320614352,0.0209761020060084,0.02072788174669763,0.1018807915279255,-0.6400144915639727,0.2487040769201049,0.09948685361367571,0.6388431144299506,-0.07882286571943847,0.7228825037422891,-0.12489156955076669,0.2923063081547964,-0.09201662252117836,0.017857462551331936,-0.052610561558946715,0.010003307425884053,0.10214638847536035,1.0,-0.22999628391542198,0.608514530316988,-0.15465365117263702,0.22764619516308793,-0.6116195517108468,0.23261280271291623,0.15185666992241853
relativeHeight,-0.09253837971791276,0.2006427225702181,0.024321056255545374,-0.04250550573815082,0.3967711671399148,-0.13740109570459308,-0.012812245536668805,-0.0731676781106505,-0.06474226773099567,0.016691550585514584,0.02025591645361345,2.20528933709124e-05,0.16859190055628842,-0.047525276864387886,0.24944641109935373,-0.10417962493431254,-0.05244437794231122,-0.16526369740663713,-0.1406998325396742,-0.19847277423170023,0.09670544213057247,-0.06457518610246181,0.09991141384696982,-0.4777485388145874,0.3671403156522176,-0.22999628391542198,1.0,-0.1282762004973325,0.06216917323482196,-0.18739193353245498,0.21177679190725318,-0.05946523446962641,-0.04773455971791693
buildingType_towel,0.36526656024818555,-0.0027223013152360555,-0.21692357531707365,-0.07957383765473486,-0.21877297144217106,0.2804745598502921,0.24212113747278247,-0.07829332444752535,-0.31351344007201787,-0.22768238418606976,0.15866978753154917,-0.04709265459367294,-0.9696237243672806,-0.2205772153965685,-0.0593492408818358,0.3324057591594399,-0.48543422114952717,0.4719739297230436,0.31577329773939333,0.39687491197083874,-0.09855267430890567,0.2720695189518356,-0.31303081742250677,-0.046926806884705095,0.010761253968632093,0.608514530316988,-0.1282762004973325,1.0,-0.10579314811716714,0.02985510167097327,-0.8017646820059611,0.22993502783880732,0.12647766697053303
buildingType_bungalow,0.037018979455084276,0.014138631961162872,-0.01503165365980827,-0.01291304740844017,-0.022074964942706013,0.18265545106436742,0.31572473271813645,-0.17490577986330919,-0.02015623742050952,-0.14607892872183756,-0.03863365308582069,-0.15490418634328246,0.09086002365516598,-0.23177459674617154,-0.11450904734735838,-0.14816792721323838,-0.07039455826728787,-0.1545714049215289,0.10122533525029587,0.1802818286861642,-0.11794457375232698,0.31979417101721597,-0.04289444213651535,-0.02959503392595578,0.08671900870648863,-0.15465365117263702,0.06216917323482196,-0.10579314811716714,1.0,-0.009833205814638611,0.0724854174736632,-0.09146351548979716,-0.04170357518730629
buildingType_comb,0.10876487146010941,0.2017464520376618,-0.13015624025610442,-0.07957715503861627,-0.19559120463435198,0.17657727612648916,0.17047163675029045,-0.08542963914073531,-0.2283023110436777,-0.009200291673092057,0.10017659892284932,-0.05200564696253074,-0.2730719664853043,0.0004984270690580059,-0.056274008480495505,0.21538693133948017,-0.14061022239885257,0.25193686637643464,0.21211408399021092,0.30342537996062313,-0.10920407140390005,0.2373923370599624,-0.32555910863232573,0.00945822155691448,0.012719558083185981,0.22764619516308793,-0.18739193353245498,0.02985510167097327,-0.009833205814638611,1.0,-0.621084768800021,0.13014770083171634,0.0994567476321015
buildingType_plate,-0.35260676530809426,-0.11869684383545155,0.24848352253123276,0.11030203550014206,0.2891692519529495,-0.32893092394140816,-0.29734517795312493,0.11546915519916068,0.38312618133265763,0.18679363281760666,-0.18390799020223247,0.07064510032767238,0.9235385443976265,0.17682844235251827,0.0821592993645709,-0.38746935660457665,0.46660612382341066,-0.5188665815111797,-0.3765629999802536,-0.49617199269872864,0.14465787690017937,-0.36094633561445727,0.4412616668950726,0.03170331045026954,-0.017490160783538166,-0.6116195517108468,0.21177679190725318,-0.8017646820059611,0.0724854174736632,-0.621084768800021,1.0,-0.2569427433199939,-0.15813478359482436
house_cnt,0.03921937464734734,0.12314956928299209,0.022144383199251754,-0.04671182781900556,-0.15199885744595315,-0.008765366628994999,-0.04620203949278047,0.03069475126903592,-0.1037863345575982,0.0285534071136942,0.08532467824422087,-0.020906781184185142,-0.25217822115482036,-0.032672656320198355,-0.06162757340271599,-0.008172986956579122,-0.022540969102689726,0.12860321334649197,0.2271263552454859,0.1378041782916831,0.009472096469273647,-0.0034259008473871942,-0.2803511082621997,0.059339400974855,-0.009233620354437236,0.23261280271291623,-0.05946523446962641,0.22993502783880732,-0.09146351548979716,0.13014770083171634,-0.2569427433199939,1.0,0.502393662900582
mall_cnt,-0.023547737706587107,0.06134286416991568,-0.10041982612946615,-0.051565436741813075,-0.1150787561138127,0.02547830897940112,0.008759884012590171,-0.01285365959611226,-0.13700431975454466,-0.053445920716107626,0.047953243022241465,-0.05916383959130814,-0.14564073450778642,0.019184785508738554,-0.003305852891914116,0.09270280474982907,-0.003547816287662247,0.12291594910789518,0.10474432976137088,0.16076858887462694,-0.07532354783520316,0.01676467340662161,-0.10857335874713048,-0.01178642217202329,-0.0056402165892134775,0.15185666992241853,-0.04773455971791693,0.12647766697053303,-0.04170357518730629,0.0994567476321015,-0.15813478359482436,0.502393662900582,1.0
